si:dkey-21h14.12
si:dkey-16p19.5
zgc:174944
si:dkey-16p6.1
znf977
si:ch211-127b6.2
znf1026
zgc:174698
si:dkey-4e4.1
si:ch211-76m11.8
znf1118
znf1085
zgc:173705
si:dkeyp-44b5.5
si:ch211-162i8.4
si:dkey-247i3.6
si:dkeyp-4f2.3
znf1137
si:ch211-171l17.14
si:ch211-76m11.5
si:dkey-29j8.1
znf1009
si:dkey-84h14.1
znf1104
si:ch211-64i20.3
si:dkey-61p9.9
znf1115
znf980
trhde.2
cacna2d4a
si:ch211-227e10.1
si:dkey-51d8.1
si:dkey-207m2.4
si:dkey-238k10.3
cct2
ccdc136b
zgc:174180
znf1023
znf1089
znf1109
znf1116
si:dkey-190j3.2
znf1021
si:ch211-215p11.1
si:ch73-134f24.1
znf1102
si:ch211-196f19.1
si:dkey-28k24.2
si:ch211-238e22.8
si:dkey-5i16.5
znf974
si:ch211-22k7.9
si:dkey-265e15.2
si:ch211-76m11.3
plxnb2a
znf993
si:dkey-82i20.2
si:ch211-214c20.1
znf1091
znf1047
si:dkey-199m13.7
si:ch73-266f23.1
znf1015
si:ch211-266c8.1
ptpro
phtf2
naa40
zgc:112234
hist1h2a11
hist1h4l
si:ch211-113a14.22
zgc:163040
zgc:173552
btr04
zgc:171759
hist1h2a10
ascl1b
zgc:172079
adgrg1
sinhcafl
nitr6b
ccs
hp
si:ch211-165f21.2
hdac8
si:ch211-200p22.4
neto2b
si:ch211-113a14.19
zgc:163061
nadsyn1
zgc:162952
klhl13
ugt2a7
zgc:112966
si:ch73-92i20.1
ank1a
myhz1.1
si:dkeyp-20g2.3
si:ch211-283g2.2
cmklrl2
ch25hl3
si:dkey-13n15.2
ewsr1b
c1ql3b
si:dkey-73p2.3
si:ch73-338o16.4
fthl27
wbp11
trim35-7
fthl31
baxa
si:dkey-13n23.3
elob
zgc:113102
hook2
dicp1.1
h3f3b.1
hbba1
cyth1a
si:ch211-256e16.11
sec14l1
zgc:113295
zgc:110249
si:dkeyp-52c3.7
ftr50
zgc:162154
zgc:173575
rnps1
iqcb1
mettl7a
adcyap1r1a
nos1apa
zak
mpp4l
march7
zgc:64065
ptprt
ube2c
si:busm1-105l16.2
rpl37
slco5a1a
lyn
ftr12
vav3b
proca
si:dkeyp-68b7.7
yeats2
clul1
pigrl3.5
si:dkey-57k2.7
ftr36
kif5ba
ftr06
pigrl2.3
ptprsa
itgb1b.1
si:ch73-236c18.9
si:dkey-27j5.6
si:dkey-256e7.5
ugt5b2
tbc1d9
si:dkey-222h21.10
pibf1
si:dkey-6f10.4
si:ch73-236c18.8
adgre5b.3
ppp2r2ca
crygm2d17
pla1a
col6a3
lnpa
tlr7
ybey
dap1b
pon3.2
megf8
tlr19
cxcr3.1
si:dkey-222b8.1
ccr2
ino80e
zgc:162509
csmd3a
pou2f2a
dnah11
si:ch73-103b2.1
wdr21
dlgap2b
si:dkey-63j12.4
ftr97
meis2a
si:ch73-212j7.3
flrt2
asb2a.1
scg5
rrm2
pimr128
hnrnpa0l
cacna1db
si:dkey-56i24.1
zgc:77486
si:ch211-194e1.7
mtmr3
slc26a6
zgc:153759
ptch1
