si:dkey-16p19.5.1
si:dkey-16p19.5.2
si:dkey-16p6.1.1
zgc:172128.1
si:dkey-16p6.1.2
si:dkey-16p6.1.3
si:dkey-16p6.1.5
si:dkey-240n22.6.1
si:dkeyp-4f2.3.1
znf1009.1
znf1009.2
znf1026.1
zgc:173705.1
si:ch211-223g7.6.1
zgc:174944.1
si:dkey-16p6.1.6
znf1137.1
trhde.2.1
si:ch211-227e10.6.1
si:dkey-61p9.9.1
znf1115.1
si:ch211-162i8.4.1
si:dkey-16p6.1.8
si:ch211-207e19.2.1
znf977.1
mcat.1
si:dkey-16p6.1.10
si:dkey-16p6.1.11
si:ch211-196f19.1.1
znf1109.1
si:dkey-29j8.1.1
plxnb2a.1
si:ch211-215p11.1.1
znf1085.1
si:dkey-5i16.5.1
si:ch211-127b6.2.1
si:dkey-16p6.1.13
znf1104.1
si:dkey-207m2.4.1
si:dkey-28k24.2.2
si:ch211-214c20.1.1
si:rp71-7l19.2.1
znf1121.1
si:rp71-7l19.2.2
si:ch211-22k7.9.1
si:dkey-265e15.2.1
si:ch211-76m11.8.1
si:ch211-76m11.5.1
si:dkey-16p6.1.15
znf1099.1
si:dkeyp-4f2.1.1
si:dkey-29j8.1.3
si:dkey-16p6.1.17
si:ch73-266f23.1.1
znf1015.1
znf1015.2
znf1078.1
znf993.2
si:ch211-76m11.8.2
si:dkey-3h2.4.1
si:ch211-171l17.14.1
si:ch211-266c8.1.1
si:dkey-238k10.3.1
si:ch211-227e10.1.1
si:dkey-84h14.1.1
znf995.1
cct2.1
znf980.1
znf1146.1
znf1127.1
zgc:173705.2
si:dkey-16p6.1.18
ptpro.1
znf1091.1
phtf2.1
si:dkey-199m13.7.1
si:dkey-27n6.1.2
zgc:112234.1
zgc:112234.2
zgc:112234.3
zgc:112234.4
zgc:112234.5
hist1h4l.1
hist1h2a11.1
hist1h4l.2
hist1h4l.3
hist1h4l.4
naa40.1
hist1h4l.5
zgc:112234.6
hist1h2a11.2
hist1h2a11.3
hist1h2a11.4
hist1h4l.6
zgc:112234.7
zgc:112234.8
ascl1b.1
zgc:172079.1
adgrg1.1
pkd1l2b.1
hdac8.1
ccs.1
sinhcafl.1
zgc:173552.1
si:ch211-113a14.19.1
hist1h4l.7
zgc:163061.1
hist1h4l.8
zgc:173552.2
unm-hu7910
zgc:162952.1
klhl13.1
si:ch73-92i20.1.1
cxcl11.6.1
si:dkey-58f10.7.1
castor1.1
ank1a.1
si:ch211-283g2.2.1
cmklrl2.1
si:dkey-13n15.2.1
pimr58.4
unm-sa808
si:dkey-73p2.3.1
trim35-7.1
baxa.1
si:dkey-106c17.2.1
elob.1
hook2.1
cyp3c3.1
sc:d0202.1
hbba1.1
ighv1-4.1
cyth1a.1
zgc:113295.1
znf1124.1
si:ch211-256e16.11.1
zgc:110249.1
znf1001.1
zgc:113102.1
ftr50.1
ftr50.2
zgc:173575.1
ftr50.3
unm-sa1261
mettl7a.1
nos1apa.1
srsf3a.1
march7.1
march7.2
zgc:64065.1
ptprt.1
ube2c.1
lyn.1
nadsyn1.1
adcyap1r1a.1
vav3b.1
si:dkeyp-68b7.7.1
yeats2.1
ftr12.1
c1ql3b.1
clul1.1
si:dkey-57k2.7.1
ftr06.1
ftr36.1
pigrl2.3.1
pigrl3.5.1
rac1l.1
si:zfos-2330d3.7.1
si:dkey-256e7.5.1
ugt5b2.1
si:dkey-222h21.2.1
pibf1.1
si:ch73-236c18.9.1
slc27a1b.1
si:ch73-236c18.8.1
pard3ba.1
si:dkey-1c7.2.1
si:busm1-105l16.2.1
adgre5b.3.1
crygm2d17.1
pla1a.1
zak.1
col6a3.1
lnpa.1
dap1b.1
tlr7.1
pon3.2.1
pafah1b3.1
afp4.1
cxcr3.1.1
gstk4.1
ccr2.1
ino80e.1
zgc:162509.1
dnah11.1
dlgap2b.1
ftr97.1
rock2b.1
