gene,ID
lama3,ENSDARG00000071462
sdf2l1,ENSDARG00000035631
cyb5r1,ENSDARG00000018966
dclk1a,ENSDARG00000018856
epha7,ENSDARG00000004635
fat2,ENSDARG00000018923
robo1,ENSDARG00000026784
spock1,ENSDARG00000074644
atp2b4,ENSDARG00000044902
banf1,ENSDARG00000037009
dclk1b,ENSDARG00000104664
grin1a,ENSDARG00000027828
grin1b,ENSDARG00000025728
grin2bb,ENSDARG00000030376
gria1a,ENSDARG00000021352
gria1b,ENSDARG00000032714
gria2b,ENSDARG00000052765
gria3b,ENSDARG00000037498
gria4a,ENSDARG00000037496
drd2b,ENSDARG00000011091
drd3,ENSDARG00000032131
slc6a3,ENSDARG00000004219
th2,ENSDARG00000038384
chata,ENSDARG00000015854
ache,ENSDARG00000031796
slc18a3a,ENSDARG00000006356
slc18a3b,ENSDARG00000107527
oprd1a,ENSDARG00000041660
oprm1,ENSDARG00000039434
barhl2,ENSDARG00000104361
bhlhe22,ENSDARG00000058039
bhlhe40,ENSDARG00000004060
ccl34b.1,ENSDARG00000093608
ccr9a,ENSDARG00000055186
clic4,ENSDARG00000022995
cspg5b,ENSDARG00000099793
cxcl12a,ENSDARG00000037116
dclk2a,ENSDARG00000034093
dnajc11a,ENSDARG00000011196
fbrsl1,ENSDARG00000058232
fkbp4,ENSDARG00000008447
fosaa,ENSDARG00000040135
fosl2,ENSDARG00000040623
her4.2,ENSDARG00000094426
id2a,ENSDARG00000055283
id4,ENSDARG00000045131
lmo3,ENSDARG00000008720
lmo4a,ENSDARG00000013853
lmo4b,ENSDARG00000054749
mdka,ENSDARG00000036036
neurod6a,ENSDARG00000040008
neurod6b,ENSDARG00000020794
prkcda,ENSDARG00000009208
prep,ENSDARG00000057151
rgs12b,ENSDARG00000036774
rnf34a,ENSDARG00000038300
roraa,ENSDARG00000031768
rprma,ENSDARG00000053383
rprml,ENSDARG00000056768
rtn4rl2a,ENSDARG00000052012
rtn4rl2b,ENSDARG00000037495
satb2,ENSDARG00000061885
socs3b,ENSDARG00000026611
sox11a,ENSDARG00000077811
stxbp1b,ENSDARG00000056036
sulf2b,ENSDARG00000013838
tgif1,ENSDARG00000059337
timp2b,ENSDARG00000075261
tnfaip8l3,ENSDARG00000088709
vim,ENSDARG00000010008
zbtb18,ENSDARG00000028228
znf536,ENSDARG00000103648
elfn1b,ENSDARG00000074372
bcl11ba,ENSDARG00000062510
pyyb,ENSDARG00000035832
pyya,ENSDARG00000053449
slc18a2,ENSDARG00000015110
aanat2,ENSDARG00000079802
drd1b,ENSDARG00000038918
drd2a,ENSDARG00000056926
drd4a,ENSDARG00000038363
mao,ENSDARG00000023712
th,ENSDARG00000030621
arxa,ENSDARG00000058011
cd9b,ENSDARG00000016691
chn1,ENSDARG00000101735
clic5a,ENSDARG00000075993
